CustomerID,GENDER,AGE,MARITAL_STATUS,PROFESSION,IS_TENT,PRODUCT_LINE,PURCHASE_AMOUNT,PURCHASE_AMOUNT_PREDICTION
0,M,27,Single,Professional,True,Camping Equipment,144.78,0.0
1,F,39,Married,Other,False,Outdoor Protection,144.83,0.0
2,F,39,Married,Other,False,Outdoor Protection,137.37,0.0
3,F,56,Unspecified,Hospitality,False,Personal Accessories,92.61,0.0
4,M,45,Married,Retired,False,Golf Equipment,119.04,0.0
5,M,45,Married,Retired,False,Golf Equipment,123.76,0.0
6,F,39,Married,Other,False,Outdoor Protection,142.23,0.0
7,F,49,Married,Other,False,Golf Equipment,105.96,0.0
8,F,49,Married,Other,False,Golf Equipment,109.21,0.0
9,M,47,Married,Retired,False,Golf Equipment,117.58,0.0
10,M,47,Married,Retired,False,Golf Equipment,115.03,0.0
11,M,21,Single,Retail,False,Personal Accessories,112.03,0.0
12,F,66,Married,Other,False,Golf Equipment,108.11,0.0
13,F,35,Married,Professional,False,Golf Equipment,152.95,0.0
14,M,20,Single,Sales,True,Mountaineering Equipment,124.66,0.0
15,M,20,Single,Sales,True,Mountaineering Equipment,122.39,0.0
16,M,20,Single,Sales,True,Mountaineering Equipment,121.39,0.0
17,F,37,Single,Other,False,Outdoor Protection,134.94,0.0
18,M,42,Married,Other,False,Outdoor Protection,156.33,0.0
19,F,24,Married,Retail,True,Personal Accessories,97.31,0.0
20,F,24,Married,Retail,True,Personal Accessories,99.36,0.0
21,M,29,Single,Retail,False,Camping Equipment,122.4,0.0
22,M,29,Single,Retail,False,Camping Equipment,122.9,0.0
23,M,43,Married,Trades,True,Camping Equipment,169.26,0.0
24,M,43,Married,Trades,True,Camping Equipment,173.7,0.0
25,F,43,Unspecified,Hospitality,False,Outdoor Protection,124.0,0.0
26,F,43,Unspecified,Hospitality,False,Outdoor Protection,122.93,0.0
27,F,43,Unspecified,Hospitality,False,Outdoor Protection,121.28,0.0
28,F,43,Unspecified,Hospitality,False,Outdoor Protection,116.64,0.0
29,M,29,Single,Other,False,Mountaineering Equipment,127.47,0.0
30,M,41,Married,Professional,False,Golf Equipment,170.49,0.0
31,M,32,Married,Other,False,Camping Equipment,150.41,0.0
32,M,34,Married,Sales,True,Camping Equipment,154.52,0.0
